id	raw_text	normalized_text	speaker_id	split	raw_ner	normalized_ner
20131007-0900-PLENARY-19-en_20131007-21:26:04_7		this could be done by looking more specifically into the suggested fallback clause in article twenty one in cases brought by the employee against the employer defining as relevant the place of business from which the employee receives or received day to day instructions	None	fine-tune	[]	[['LAW', 86, 18]]
20131007-0900-PLENARY-19-en_20131007-21:26:04_3	2012. For instance, the new Brussels I Regulation provides for the right for employees to sue several employers together and the right for employees to have access to courts in Europe, even if the employer is domiciled outside Europe. The Commission will	two thousand and twelve for instance the new brussels i regulation provides for the right for employees to sue several employers together and the right for employees to have access to courts in europe even if the employer is domiciled outside europe. the commission will	None	fine-tune	[['LOC', 227, 6], ['LOC', 177, 6], ['LAW', 28, 21], ['DATE', 0, 4]]	[['LOC', 243, 6], ['LOC', 194, 6], ['LAW', 45, 21], ['DATE', 0, 23]]
20110705-0900-PLENARY-5-en_20110705-12:06:20_2	I ask you, therefore, to enforce the standing order and refer these reports back to committee, so that they do not take up our time when they should be sorted out in committee.	i ask you therefore to enforce the standing order and refer these reports back to committee so that they do not take up our time when they should be sorted out in committee.	4537	fine-tune	None	None
20110705-0900-PLENARY-5-en_20110705-12:06:20_0	Mr President, I understood that it was a decision of the Conference of Presidents that any report that had more than 50 amendments had to be referred back to the committee to be resolved.	mr president i understood that it was a decision of the conference of presidents that any report that had more than fifty amendments had to be referred back to the committee to be resolved.	4537	fine-tune	[['CARDINAL', 117, 2], ['ORG', 57, 24]]	[['CARDINAL', 116, 5], ['ORG', 56, 24]]
20110705-0900-PLENARY-5-en_20110705-12:06:20_1	We have four reports in front of us today the Langen, Lepage, Eickhout and Pieper reports all of which have more than 50 amendments.	we have four reports in front of us today the langen lepage eickhout and pieper reports all of which have more than fifty amendments.	4537	fine-tune	[['CARDINAL', 118, 2], ['PERSON', 75, 6], ['PERSON', 62, 8], ['PERSON', 54, 6], ['PERSON', 46, 6], ['DATE', 36, 5], ['CARDINAL', 8, 4]]	[['CARDINAL', 116, 5], ['PERSON', 73, 6], ['PERSON', 60, 8], ['PERSON', 53, 6], ['PERSON', 46, 6], ['DATE', 36, 5], ['CARDINAL', 8, 4]]
20110705-0900-PLENARY-5-en_20110705-12:13:39_0	Mr President, I would just like to thank all the political groups, and particularly the leaders of the political groups, for a very smooth arrangement that allowed us to fill these two vacant places.	mr president i would just like to thank all the political groups and particularly the leaders of the political groups for a very smooth arrangement that allowed us to fill these two vacant places.	23712	fine-tune	[['CARDINAL', 181, 3]]	[['CARDINAL', 178, 3]]
20170313-0900-PLENARY-14-en_20170313-21:48:27_5	The directive requires that farmers take all responsible steps to ensure that animals under their care are not caused unnecessary pain, suffering or injury.	the directive requires that farmers take all responsible steps to ensure that animals under their care are not caused unnecessary pain suffering or injury.	None	fine-tune	None	None
20170313-0900-PLENARY-14-en_20170313-21:48:27_3		the report also invites the commission to use scientific evidence as the basis for proposing new measures for housing requirements for breeding does and for rabbits reared for meat production. i would remind the honourable members that all farmed animal species including rabbits are protected by the rules of directive ninety eight	None	fine-tune	[]	[['LAW', 310, 22]]
20170313-0900-PLENARY-14-en_20170313-21:48:27_13	This priority is particularly relevant because we continue to see a widespread lack of compliance regarding animal welfare rules across many Member States.	this priority is particularly relevant because we continue to see a widespread lack of compliance regarding animal welfare rules across many member states.	None	fine-tune	None	None
20170313-0900-PLENARY-14-en_20170313-21:48:27_7	This opinion provides Member States and farmers with data on aspects of farming systems which may put the welfare of the rabbits at risk.	this opinion provides member states and farmers with data on aspects of farming systems which may put the welfare of the rabbits at risk.	None	fine-tune	None	None
20170313-0900-PLENARY-14-en_20170313-21:48:27_11	As honourable Members will know, Member States are primarily responsible for the implementation of EU legislation.	as honourable members will know member states are primarily responsible for the implementation of eu legislation.	None	fine-tune	[['GPE', 99, 2]]	[['GPE', 98, 2]]
20170313-0900-PLENARY-14-en_20170313-21:48:27_9	Rabbit production in the EU is essentially concentrated in a few Member States mainly Italy, Spain and France.	rabbit production in the eu is essentially concentrated in a few member states mainly italy spain and france.	None	fine-tune	[['GPE', 103, 6], ['GPE', 93, 5], ['GPE', 86, 5], ['GPE', 25, 2]]	[['GPE', 102, 6], ['GPE', 92, 5], ['GPE', 86, 5], ['GPE', 25, 2]]
20170313-0900-PLENARY-14-en_20170313-21:48:27_8	The rules of the directive should be seen in conjunction with this opinion.	the rules of the directive should be seen in conjunction with this opinion.	None	fine-tune	None	None
20170313-0900-PLENARY-14-en_20170313-21:48:27_6	In addition, in 2005 the European Food Safety Authority published an opinion on the impact of the current housing and husbandry systems on the health and welfare of farmed domestic rabbits.	in addition in two thousand and five the european food safety authority published an opinion on the impact of the current housing and husbandry systems on the health and welfare of farmed domestic rabbits.	None	fine-tune	[['ORG', 25, 30], ['DATE', 16, 4]]	[['ORG', 41, 30], ['DATE', 15, 21]]
20170313-0900-PLENARY-14-en_20170313-21:48:27_10	Against this background and in line with the principles of subsidiarity and proportionality, the Commission takes the view that the Member States involved are better placed to address the relevant issues concerning rabbit production.	against this background and in line with the principles of subsidiarity and proportionality the commission takes the view that the member states involved are better placed to address the relevant issues concerning rabbit production.	None	fine-tune	None	None
20170313-0900-PLENARY-14-en_20170313-21:48:27_4		fifty eight concerning the protection of animals kept for farming purposes.	None	fine-tune	[]	[['CARDINAL', 0, 11]]
20170313-0900-PLENARY-14-en_20170313-21:48:27_14	In consideration of this analysis and given its limited resources, the Commission does not consider it appropriate to propose an initiative on the welfare of farm rabbits.	in consideration of this analysis and given its limited resources the commission does not consider it appropriate to propose an initiative on the welfare of farm rabbits.	None	fine-tune	None	None
20170313-0900-PLENARY-14-en_20170313-21:48:27_2	The report encourages the Commission to take a number of non legislative actions such as drawing up a roadmap to include guidelines on good practices and a Commission recommendation relating to rabbit health, welfare and housing.	the report encourages the commission to take a number of non legislative actions such as drawing up a roadmap to include guidelines on good practices and a commission recommendation relating to rabbit health welfare and housing.	None	fine-tune	None	None
20170313-0900-PLENARY-14-en_20170313-21:48:27_12	Better enforcement of the EU animal welfare legislation is one of the key priorities for animal welfare, and the Commission has invested substantial resources in pursuit of this aim.	better enforcement of the eu animal welfare legislation is one of the key priorities for animal welfare and the commission has invested substantial resources in pursuit of this aim.	None	fine-tune	[['CARDINAL', 59, 3], ['GPE', 26, 2]]	[['CARDINAL', 59, 3], ['GPE', 26, 2]]
20130909-0900-PLENARY-17-en_20130909-20:54:22_6	Therefore I strongly support the report's focus on the need to ensure implementation of existing EU legislation in the Member States.	therefore i strongly support the report's focus on the need to ensure implementation of existing eu legislation in the member states.	96710	fine-tune	[['GPE', 97, 2]]	[['GPE', 97, 2]]
20130909-0900-PLENARY-17-en_20130909-20:54:22_4	This stimulates growth and job creation in Europe and increases our energy security.	this stimulates growth and job creation in europe and increases our energy security.	96710	fine-tune	[['LOC', 43, 6]]	[['LOC', 43, 6]]
20130909-0900-PLENARY-17-en_20130909-20:54:22_5	Furthermore, an internal market for energy is an important part of the path towards more sustainable energy production. That is quite obvious to us all, but we should also recognise that there is a long way to go before we can realise our vision for an internal market for energy in the EU. One reason for this is that legislation concerning the creation of the market is delayed in many Member States.	furthermore an internal market for energy is an important part of the path towards more sustainable energy production. that is quite obvious to us all but we should also recognise that there is a long way to go before we can realise our vision for an internal market for energy in the eu. one reason for this is that legislation concerning the creation of the market is delayed in many member states.	96710	fine-tune	[['CARDINAL', 291, 3], ['GPE', 287, 2]]	[['CARDINAL', 289, 3], ['GPE', 285, 2]]
20130909-0900-PLENARY-17-en_20130909-20:54:22_7	Today the European Parliament is sending out a strong and unmistakable message to the governments in Europe that they must live up to their commitments in the third energy package, and we are also highlighting the importance of a more coordinated approach at EU level towards national capacity mechanisms. National capacity mechanisms can be necessary in some circumstances, but much too often they are counterproductive as regards the aim of creating cross border markets. I therefore strongly support the call to the Commission to ensure a stronger and more coordinated approach capable of guaranteeing that capacity mechanisms will be transparent	today the european parliament is sending out a strong and unmistakable message to the governments in europe that they must live up to their commitments in the third energy package and we are also highlighting the importance of a more coordinated approach at eu level towards national capacity mechanisms. national capacity mechanisms can be necessary in some circumstances but much too often they are counterproductive as regards the aim of creating cross border markets. i therefore strongly support the call to the commission to ensure a stronger and more coordinated approach capable of guaranteeing that capacity mechanisms will be transparent	96710	fine-tune	[['GPE', 259, 2], ['ORDINAL', 159, 5], ['LOC', 101, 6], ['ORG', 10, 19]]	[['GPE', 258, 2], ['ORDINAL', 159, 5], ['LOC', 101, 6], ['ORG', 10, 19]]
20130909-0900-PLENARY-17-en_20130909-21:23:58_11	Before the European elections next year we can implement much of the legislation mentioned in my report.	before the european elections next year we can implement much of the legislation mentioned in my report.	28269	fine-tune	[['DATE', 30, 9], ['NORP', 11, 8]]	[['DATE', 30, 9], ['NORP', 11, 8]]
20100907-0900-PLENARY-5-en_20100907-12:55:03_4	The Commission will take its stand, express itself and make commitments, if necessary, at the time of the first reading vote.	the commission will take its stand express itself and make commitments if necessary at the time of the first reading vote.	36239	fine-tune	[['ORDINAL', 106, 5]]	[['ORDINAL', 103, 5]]
20100705-0900-PLENARY-18-en_20100705-22:38:51_12	and analysing the possibility of introducing targets for separate collection or recycling of bio waste within the review of the recycling targets of the Waste Framework Directive by 2014 at the latest.	and analysing the possibility of introducing targets for separate collection or recycling of bio waste within the review of the recycling targets of the waste framework directive by two thousand and fourteen at the latest.	99424	fine-tune	[['DATE', 182, 4], ['LAW', 153, 25]]	[['DATE', 182, 25], ['LAW', 153, 25]]
20100705-0900-PLENARY-18-en_20100705-22:38:51_10	Therefore, the Commission plans to initiate a number of actions aimed at improving bio waste management, including setting criteria for the production of high quality compost using the end of waste' procedure envisaged in the Waste Framework Directive	therefore the commission plans to initiate a number of actions aimed at improving bio waste management including setting criteria for the production of high quality compost using the end of waste' procedure envisaged in the waste framework directive;	99424	fine-tune	[['LAW', 226, 25]]	[['LAW', 224, 25]]
20100705-0900-PLENARY-18-en_20100705-22:38:51_6	However, as optimal bio waste policies may differ from country to country or even between regions, further analysis on the grounds of subsidiarity is necessary.	however as optimal bio waste policies may differ from country to country or even between regions further analysis on the grounds of subsidiarity is necessary.	99424	fine-tune	None	None
20100705-0900-PLENARY-18-en_20100705-22:38:51_2	As you know, on 18 May, the Commission adopted the communication on future steps in bio waste management in the European Union. This communication is accompanied by an annex with a detailed technical analysis of the measures that could be taken to improve the management of bio waste in the EU as a whole and in each Member State	as you know on eighteen may the commission adopted the communication on future steps in bio waste management in the european union. this communication is accompanied by an annex with a detailed technical analysis of the measures that could be taken to improve the management of bio waste in the eu as a whole and in each member state	99424	fine-tune	[['GPE', 291, 2], ['GPE', 112, 14], ['DATE', 16, 6]]	[['GPE', 295, 2], ['GPE', 116, 14], ['DATE', 15, 12]]
20100705-0900-PLENARY-18-en_20100705-22:38:51_11	analysing the viability of setting minimum standards for the use of bio waste in agriculture within the revision of the Sewage Sludge Directive	analysing the viability of setting minimum standards for the use of bio waste in agriculture within the revision of the sewage sludge directive;	99424	fine-tune	[['LAW', 120, 23]]	[['LAW', 120, 23]]
20100705-0900-PLENARY-18-en_20100705-22:35:56_2	So it is with great regret that I have to say that I do have an argument with one part of it.	so it is with great regret that i have to say that i do have an argument with one part of it.	96956	fine-tune	[['CARDINAL', 78, 3]]	[['CARDINAL', 78, 3]]
20100705-0900-PLENARY-18-en_20100705-22:35:56_3	The rapporteur lost my support on the point where he talks about a mandatory that means compulsory separate collection regime across Europe.	the rapporteur lost my support on the point where he talks about a mandatory that means compulsory separate collection regime across europe.	96956	fine-tune	[['LOC', 133, 6]]	[['LOC', 133, 6]]
20100705-0900-PLENARY-18-en_20100705-22:35:56_4	I object to this in principle on the grounds of subsidiarity and I object most particularly on the grounds that it seeks to lock in a method that, in many places, is being superseded by high tech autoclave and other technology.	i object to this in principle on the grounds of subsidiarity and i object most particularly on the grounds that it seeks to lock in a method that in many places is being superseded by high tech autoclave and other technology.	96956	fine-tune	None	None
20100705-0900-PLENARY-18-en_20100705-22:35:56_5	In other words, it is becoming outmoded before we have even set it up, and this really puts EU regulation in its worst possible light.	in other words it is becoming outmoded before we have even set it up and this really puts eu regulation in its worst possible light.	96956	fine-tune	[['GPE', 92, 2]]	[['GPE', 90, 2]]
20100705-0900-PLENARY-18-en_20100705-22:35:56_6	I object to the knee jerk reaction to call for more regulation rather than create incentives and I urge the Commission to maintain its position and oppose the call for compulsion.	i object to the knee jerk reaction to call for more regulation rather than create incentives and i urge the commission to maintain its position and oppose the call for compulsion.	96956	fine-tune	None	None
20140916-0900-PLENARY-19-en_20140916-22:04:17_11	In addition, in terms of success in helping the development and the placing on the market of medicines for rare and life threatening diseases, the Commission has already authorised 106 of such innovative treatments.	in addition in terms of success in helping the development and the placing on the market of medicines for rare and life threatening diseases the commission has already authorised one hundred and six of such innovative treatments.	None	fine-tune	[['CARDINAL', 181, 3]]	[['CARDINAL', 179, 19]]
20140916-0900-PLENARY-19-en_20140916-22:04:17_2	This commitment was highlighted in the Commission's communication of April this year on effective and resilient health systems, which, among other things, focused on increasing accessibility to health systems.	this commitment was highlighted in the commission's communication of april this year on effective and resilient health systems which among other things focused on increasing accessibility to health systems.	None	fine-tune	[['DATE', 69, 15]]	[['DATE', 69, 15]]
20140916-0900-PLENARY-19-en_20140916-22:04:17_8	The Commission is therefore looking forward to the debate planned by the Italian Presidency on therapeutic innovation at next week's informal Council of Health Ministers. The outcome of this debate will help inform the new Commission about the interest of Member States in continuing an EU debate on the affordability of innovative health products.	the commission is therefore looking forward to the debate planned by the italian presidency on therapeutic innovation at next week's informal council of health ministers. the outcome of this debate will help inform the new commission about the interest of member states in continuing an eu debate on the affordability of innovative health products.	None	fine-tune	[['GPE', 287, 2], ['EVENT', 142, 27], ['DATE', 121, 9], ['NORP', 73, 7]]	[['GPE', 287, 2], ['EVENT', 142, 27], ['DATE', 121, 9], ['NORP', 73, 7]]
20140916-0900-PLENARY-19-en_20140916-22:04:17_13	These are determined by Member States individually.	these are determined by member states individually.	None	fine-tune	None	None
20140916-0900-PLENARY-19-en_20140916-22:04:17_15	However, the Commission can offer help, for example, by pursuing improved exchanges of information among Member States on their pricing policies with a view to minimising negative effects on the accessibility of medicines in the EU.	however the commission can offer help for example by pursuing improved exchanges of information among member states on their pricing policies with a view to minimising negative effects on the accessibility of medicines in the eu.	None	fine-tune	[['GPE', 229, 2]]	[['GPE', 226, 2]]
20140916-0900-PLENARY-19-en_20140916-22:04:17_12	The Commission has, however, no competence to regulate the level of prices of medicinal treatments.	the commission has however no competence to regulate the level of prices of medicinal treatments.	None	fine-tune	None	None
20140916-0900-PLENARY-19-en_20140916-22:04:17_7	Of course, the discussion on the impact of prices on the affordability of medicines for public payers and patients goes far beyond the specific case of hepatitis C treatments.	of course the discussion on the impact of prices on the affordability of medicines for public payers and patients goes far beyond the specific case of hepatitis c treatments.	None	fine-tune	None	None
20140916-0900-PLENARY-19-en_20140916-22:04:17_14	Thus there can be no price caps imposed by the Commission.	thus there can be no price caps imposed by the commission.	None	fine-tune	None	None
20140916-0900-PLENARY-19-en_20140916-22:04:17_9	As regards support to research and development, the Commission is hopeful that the ongoing Innovative Medicines Initiative will help speed up the development of better and safer medicines.	as regards support to research and development the commission is hopeful that the ongoing innovative medicines initiative will help speed up the development of better and safer medicines.	None	fine-tune	None	None
20140916-0900-PLENARY-19-en_20140916-22:04:17_10	EU pharmaceutical legislation contains a number of tools to facilitate early access to medicines for patients with unmet medical needs.	eu pharmaceutical legislation contains a number of tools to facilitate early access to medicines for patients with unmet medical needs.	None	fine-tune	[['GPE', 0, 2]]	[['GPE', 0, 2]]
20140916-0900-PLENARY-19-en_20140916-22:04:17_3	The communication stressed the need for improved cooperation, increased transparency and better coordination to minimise any unintended effects that current national pricing systems may have in terms of accessibility throughout the EU'.	the communication stressed the need for improved cooperation increased transparency and better coordination to minimise any unintended effects that current national pricing systems may have in terms of accessibility throughout the eu'.	None	fine-tune	[['GPE', 232, 2]]	[['GPE', 231, 2]]
20140916-0900-PLENARY-19-en_20140916-22:04:17_16	Another way in which the Commission could assist would be by further exploring the use of the joint procurement mechanism to obtain more advantageous price offers from the pharmaceutical industry.	another way in which the commission could assist would be by further exploring the use of the joint procurement mechanism to obtain more advantageous price offers from the pharmaceutical industry.	None	fine-tune	None	None
20140916-0900-PLENARY-19-en_20140916-22:25:19_5	Lastly, I want to add my voice to the long list of organisations, including the European consumer organisation AGE Platform, and the Standing Committee of European Doctors, asking Commissioner Juncker to revisit his decision to move medicinal products and health technologies into the portfolio of the Commissioner for the Internal Market.	lastly i want to add my voice to the long list of organisations including the european consumer organisation age platform and the standing committee of european doctors asking commissioner juncker to revisit his decision to move medicinal products and health technologies into the portfolio of the commissioner for the internal market.	28116	fine-tune	[['PERSON', 193, 7], ['ORG', 133, 38], ['ORG', 111, 12], ['NORP', 80, 8]]	[['PERSON', 189, 7], ['ORG', 130, 38], ['ORG', 109, 12], ['NORP', 78, 8]]
20140916-0900-PLENARY-19-en_20140916-22:25:19_3	The Commission itself, in its country specific recommendations, tells us that limitations on access to healthcare may weigh disproportionately on the more vulnerable sections of society, the people who rely disproportionately on public services. In my own country, Ireland, the cuts in health expenditure between 2009 and 2011 were of the order of 17	the commission itself in its country specific recommendations tells us that limitations on access to healthcare may weigh disproportionately on the more vulnerable sections of society the people who rely disproportionately on public services. in my own country ireland the cuts in health expenditure between two thousand and nine and two thousand and eleven were of the order of seventeen	28116	fine-tune	[['CARDINAL', 348, 2], ['DATE', 305, 21], ['GPE', 265, 7]]	[['CARDINAL', 379, 9], ['DATE', 300, 57], ['GPE', 261, 7]]
20140916-0900-PLENARY-19-en_20140916-22:25:19_1	They are caused by supply issues, they are caused by production issues and, most certainly, they are caused by affordability issues.	they are caused by supply issues they are caused by production issues and most certainly they are caused by affordability issues.	28116	fine-tune	None	None
20140916-0900-PLENARY-19-en_20140916-22:35:30_2	He will also have people from his team who are listening to this debate and taking notes.	he will also have people from his team who are listening to this debate and taking notes.	None	fine-tune	None	None
20140916-0900-PLENARY-19-en_20140916-22:35:30_6	there are other things, for instance, the exchange of information.	there are other things for instance the exchange of information.	None	fine-tune	None	None
20140916-0900-PLENARY-19-en_20140916-22:35:30_7	There are other things, and as far as I understand it, the informal Health Council will actually have this on their agenda at their next meeting.	there are other things and as far as i understand it the informal health council will actually have this on their agenda at their next meeting.	None	fine-tune	[['ORG', 68, 14]]	[['ORG', 66, 14]]
20140916-0900-PLENARY-19-en_20140916-22:35:30_8	Thank you very much for the input.	thank you very much for the input.	None	fine-tune	None	None
20160913-0900-PLENARY-16-en_20160913-17:59:24_8	The third point and the key point I would like to underline is, and maybe I am just an observer getting it wrong, but it seems to me while the African Union does play a role, we see that the mediators' mission has been postponed, and honestly I would have expected the African Union to be much more vocal and much more engaged.	the third point and the key point i would like to underline is and maybe i am just an observer getting it wrong but it seems to me while the african union does play a role we see that the mediators' mission has been postponed and honestly i would have expected the african union to be much more vocal and much more engaged.	124706	fine-tune	[['ORG', 269, 13], ['ORG', 143, 13], ['ORDINAL', 4, 5]]	[['ORG', 265, 13], ['ORG', 141, 13], ['ORDINAL', 4, 5]]
20160913-0900-PLENARY-16-en_20160913-18:18:25_1	Sometimes we forget it.	sometimes we forget it.	None	fine-tune	None	None
20160913-0900-PLENARY-16-en_20160913-18:18:25_2	Sometimes we focus on our own limits or divisions and, for sure, we have both limits and divisions but when we look at the work the European Union does from the outside, with the eyes of the citizens of Gabon who were welcoming our mission, we recognise how relevant our work is, how important our values are, how powerful our instruments are, and how much expectation as well	sometimes we focus on our own limits or divisions and for sure we have both limits and divisions but when we look at the work the european union does from the outside with the eyes of the citizens of gabon who were welcoming our mission we recognise how relevant our work is how important our values are how powerful our instruments are and how much expectation as well	None	fine-tune	[['GPE', 203, 5], ['GPE', 132, 14]]	[['GPE', 200, 5], ['GPE', 130, 14]]
20160913-0900-PLENARY-16-en_20160913-18:18:25_7	This is really a key part of our common work that I appreciate very much.	this is really a key part of our common work that i appreciate very much.	None	fine-tune	None	None
20160913-0900-PLENARY-16-en_20160913-18:18:25_10	We will look at what is happening and follow and monitor the situation in these critical hours and days extremely carefully, and I know that you will do the same.	we will look at what is happening and follow and monitor the situation in these critical hours and days extremely carefully and i know that you will do the same.	None	fine-tune	None	None
